[2018-06-28 18:47:04] default.NOTICE 4592 059ccca: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:47:04] default.NOTICE 4592 6a7c479: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:47:06] default.NOTICE 4592 8a568af: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:47:07] default.NOTICE 4592 5238bb5: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:47:07] default.WARNING 4592 5238bb5: E_WARNING: count(): Parameter must be an array or an object that implements Countable {"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"C:\\xampp\\htdocs\\application\\classes\\modules\\comment\\Comment.class.php","line":428}
[2018-06-28 18:47:09] default.NOTICE 4592 d6b5cf1: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:48:06] default.NOTICE 4592 b9382a5: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:49:43] default.NOTICE 4592 bbdb75d: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:22] default.NOTICE 4592 5b92dd1: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:25] default.NOTICE 4592 8021cf7: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:26] default.NOTICE 4592 8680ffe: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:29] default.NOTICE 4592 4973a0a: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:31] default.NOTICE 4592 8de37ea: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:36] default.NOTICE 4592 c64321c: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:37] default.NOTICE 4592 c9ed6c1: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:40] default.NOTICE 4592 0aa66b5: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:49] default.NOTICE 4592 22167e3: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:52] default.NOTICE 4592 ab36ecc: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:53] default.NOTICE 4592 3d8dd17: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:54] default.NOTICE 4592 97123d8: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:55] default.NOTICE 4592 3b43c33: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:51:57] default.NOTICE 4592 ad97b9d: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:14] default.NOTICE 4592 ff9d138: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:27] default.NOTICE 4592 3975947: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:28] default.NOTICE 4592 76dcd11: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:33] default.NOTICE 4592 198d137: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:34] default.NOTICE 4592 82ac68d: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:35] default.NOTICE 4592 864d639: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:39] default.NOTICE 4592 020ef3d: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
